Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-03 00:00:00+05:30,1363.199951171875,1371.5999755859375,1356.9000244140625,1363.4000244140625,12842347,0.0,0.0
2025-10-06 00:00:00+05:30,1360.0,1377.4000244140625,1359.0,1375.0,12396580,0.0,0.0
2025-10-07 00:00:00+05:30,1376.0,1395.9000244140625,1375.9000244140625,1384.800048828125,11244040,0.0,0.0
2025-10-08 00:00:00+05:30,1384.800048828125,1389.0,1364.5,1367.4000244140625,8525081,0.0,0.0
2025-10-09 00:00:00+05:30,1374.0,1380.0,1369.0999755859375,1377.800048828125,8826633,0.0,0.0
2025-10-10 00:00:00+05:30,1377.800048828125,1388.0,1375.0999755859375,1381.699951171875,6373084,0.0,0.0
2025-10-13 00:00:00+05:30,1376.9000244140625,1377.699951171875,1367.800048828125,1375.0,7600682,0.0,0.0
2025-10-14 00:00:00+05:30,1380.0,1388.0,1370.0999755859375,1375.9000244140625,9768174,0.0,0.0
2025-10-15 00:00:00+05:30,1383.0,1384.0,1372.699951171875,1374.300048828125,10882743,0.0,0.0
2025-10-16 00:00:00+05:30,1375.0999755859375,1400.5,1375.0,1398.300048828125,12315932,0.0,0.0
2025-10-17 00:00:00+05:30,1401.0,1423.300048828125,1399.0999755859375,1416.800048828125,19335561,0.0,0.0
2025-10-20 00:00:00+05:30,1440.0,1473.800048828125,1433.300048828125,1466.800048828125,24721978,0.0,0.0
2025-10-21 00:00:00+05:30,1468.0,1474.0,1460.0,1465.199951171875,2066169,0.0,0.0
2025-10-23 00:00:00+05:30,1475.0,1482.9000244140625,1444.5999755859375,1448.4000244140625,18707090,0.0,0.0
2025-10-24 00:00:00+05:30,1450.0,1459.800048828125,1441.0,1451.5999755859375,9700837,0.0,0.0
2025-10-27 00:00:00+05:30,1463.0,1485.0,1458.0,1484.0999755859375,14113867,0.0,0.0
2025-10-28 00:00:00+05:30,1484.0999755859375,1492.0,1477.5999755859375,1486.9000244140625,17631577,0.0,0.0
2025-10-29 00:00:00+05:30,1490.0,1508.300048828125,1488.0999755859375,1504.199951171875,11884745,0.0,0.0
2025-10-30 00:00:00+05:30,1500.0,1503.0999755859375,1484.0,1488.5,9318663,0.0,0.0
2025-10-31 00:00:00+05:30,1490.4000244140625,1497.5,1482.300048828125,1486.4000244140625,8758053,0.0,0.0
2025-11-03 00:00:00+05:30,1486.0,1495.0,1479.300048828125,1484.699951171875,8452085,0.0,0.0
2025-11-04 00:00:00+05:30,1483.9000244140625,1492.800048828125,1470.0999755859375,1473.0999755859375,10007806,0.0,0.0
2025-11-06 00:00:00+05:30,1484.0,1501.5999755859375,1476.199951171875,1496.0999755859375,16772678,0.0,0.0
2025-11-07 00:00:00+05:30,1494.5999755859375,1498.4000244140625,1475.9000244140625,1478.0,7821765,0.0,0.0
2025-11-10 00:00:00+05:30,1477.9000244140625,1501.0,1475.5,1489.300048828125,7068438,0.0,0.0
2025-11-11 00:00:00+05:30,1497.0,1498.800048828125,1480.199951171875,1493.4000244140625,7127506,0.0,0.0
2025-11-12 00:00:00+05:30,1505.0,1524.699951171875,1500.0,1511.5,12384459,0.0,0.0
2025-11-13 00:00:00+05:30,1515.0,1522.0999755859375,1506.800048828125,1510.9000244140625,7196443,0.0,0.0
2025-11-14 00:00:00+05:30,1505.5,1520.9000244140625,1505.5,1518.9000244140625,7682823,0.0,0.0
2025-11-17 00:00:00+05:30,1520.9000244140625,1523.699951171875,1511.5,1518.300048828125,5871416,0.0,0.0
2025-11-18 00:00:00+05:30,1521.699951171875,1527.800048828125,1510.5,1519.4000244140625,11045042,0.0,0.0
2025-11-19 00:00:00+05:30,1517.4000244140625,1522.300048828125,1512.0,1518.9000244140625,5692366,0.0,0.0
2025-11-20 00:00:00+05:30,1530.0,1550.9000244140625,1526.699951171875,1549.0999755859375,18171724,0.0,0.0
2025-11-21 00:00:00+05:30,1541.0,1557.800048828125,1540.0999755859375,1546.5999755859375,9615271,0.0,0.0
