Price,Close,High,Low,Open,Volume,RSI,SMA20,SMA50,MACD,Signal_Line,SMA_Ratio,Volume_Change,Target,Predicted
2025-06-30,3437.47021484375,3440.3495701102424,3405.6969488486607,3415.526706051579,1468351.0,49.87328484459045,3407.901171875,3415.2016552734376,1.6440248903081738,1.622741428041388,0.9978623565647536,-0.17435686359846003,0,
2025-07-01,3405.399169921875,3460.307396022409,3389.314001814202,3430.5199578930915,2375183.0,44.42390366381103,3410.6068725585938,3417.929462890625,0.6926497315967026,1.4367230887524511,0.9978575946602952,0.617585304876014,0,
2025-07-02,3399.04443359375,3465.172397295891,3395.7677670907174,3462.4915764882385,3090585.0,48.42988367488473,3412.711853027344,3420.6718994140624,-0.567553643786141,1.0358677422447329,0.9976729582313691,0.3011986865854126,0,
2025-07-03,3376.703857421875,3410.959409470928,3373.5265793371623,3405.6969138623963,2531870.0,43.73080432825706,3414.1863403320312,3421.0267431640623,-3.330578847398101,0.1625784243161661,0.9980004825025997,-0.18077969057637955,1,
2025-07-04,3395.5693359375,3402.718272445599,3366.0798213348503,3383.852895387978,1109320.0,38.28485834801226,3415.9537353515625,3421.9832861328123,-3.952448411973819,-0.6604269429418309,0.9982379952568197,-0.5618574413378254,0,
2025-07-07,3387.526611328125,3401.824726672673,3384.249944744325,3394.079944495724,1639174.0,33.5867996014139,3415.4473510742187,3421.8656640625,-5.036210878278325,-1.53558373000913,0.9981243235070013,0.477638553347997,0,
2025-07-08,3382.0654296875,3400.732271367233,3369.356075198484,3380.873980731512,2325242.0,41.21306852130685,3412.632434082031,3421.72740234375,-6.263569626592016,-2.481180909325708,0.9973419950825162,0.4185449500785152,0,
2025-07-09,3359.82421875,3389.810188927958,3343.143206245001,3385.838530827281,2034938.0,42.03010458315418,3408.258642578125,3420.57349609375,-8.92802342582263,-3.770549412625092,0.9963997693574811,-0.1248489404543699,0,
2025-07-10,3358.036865234375,3374.916411866245,3332.221088032692,3356.051036218861,3035012.0,38.91868414670158,3405.667138671875,3419.75388671875,-11.056395504234844,-5.227718630947043,0.9958807713907181,0.49145182801638176,0,
2025-07-11,3242.85888671875,3311.369989959287,3237.9937024384426,3276.518592650877,7635550.0,29.82288202217921,3396.74580078125,3417.077529296875,-21.785911566866616,-8.53935721813096,0.9940499656969127,1.51582201322433,0,
2025-07-14,3199.865478515625,3248.816211355921,3177.326368074251,3242.8587244157825,3924009.0,26.466445604579505,3383.1627197265625,3413.0826806640625,-33.37362866271815,-13.506211507048398,0.9912337427080206,-0.4860869223566082,1,
2025-07-15,3229.256103515625,3236.3056515140206,3183.2841104563845,3183.2841104563845,2590889.0,20.965357642198327,3370.1058959960938,3409.5634521484376,-39.72744685846829,-18.750458577332378,0.9884273876388836,-0.33973418511527365,0,
2025-07-16,3221.08642578125,3232.842384321887,3208.632873739526,3215.008995091513,2540733.0,20.63985477561708,3359.812963867188,3406.174111328125,-44.90448729425134,-23.98126432071617,0.9863890846604844,-0.019358606254455513,0,
2025-07-17,3197.275146484375,3229.9533162828457,3192.194243099011,3212.1199267281463,2947640.0,19.30509947054678,3349.68974609375,3402.23375,-50.3483163283704,-29.254674722247017,0.9845560276667498,0.160153388805514,0,
2025-07-18,3178.046875,3216.802476353157,3175.157748110912,3213.016547743236,3432645.0,13.557539824077182,3338.024267578125,3398.078095703125,-55.57353376606807,-34.51844653101123,0.9823271194970656,0.16454010666160057,0,
2025-07-21,3146.464599609375,3185.718341629892,3140.287686436296,3178.14648468648,3844346.0,13.576182593704274,3326.8697509765625,3389.745830078125,-61.55343225962952,-39.925443676734886,0.9814510933109951,0.11993695823483064,1,
2025-07-22,3147.859619140625,3168.283445003984,3142.8781981983425,3147.859619140625,3198036.0,14.166321281419895,3315.943859863281,3383.516088867188,-65.42579069215299,-45.02551307981851,0.9800289913719517,-0.16811962294757032,1,
2025-07-23,3167.287109375,3170.1762361812234,3145.866999671073,3147.859568015624,1922875.0,19.874506817975885,3303.288610839844,3377.0115673828127,-66.1643253919051,-49.25327554223583,0.9781691726332746,-0.39873253459310654,0,
2025-07-24,3136.302734375,3161.9071902624382,3128.332460590057,3153.339291883696,2934778.0,13.960002769289671,3289.233081054688,3369.2732373046874,-68.46062807242924,-53.09474604827452,0.9762440886765155,0.5262448157056492,0,
2025-07-25,3124.14794921875,3145.169399267611,3113.9858993305074,3128.332294086445,2568917.0,13.80221387851519,3274.604553222656,3361.657924804688,-70.4491600075562,-56.565628840130856,0.9741040363031317,-0.12466394391671198,0,
2025-07-28,3067.85791015625,3106.41405910006,3058.4926929668136,3098.443785696339,3374473.0,12.11023705500665,3256.1239379882813,3353.753354492188,-75.69466067957819,-60.391435208020326,0.9708895061191256,0.3135780564338979,0,
2025-07-29,3044.64453125,3062.5776469445354,3029.899476365581,3048.629668071008,4785312.0,12.081909298005897,3238.0862060546874,3345.788017578125,-80.79354572648072,-64.4718573117124,0.9678097324284762,0.4180916546079936,0,
2025-07-30,3042.25341796875,3057.5960967882907,3035.877053384358,3048.629539319704,2880121.0,12.064383107646378,3220.2466552734377,3337.2335693359373,-84.05841859504835,-68.3891695683796,0.9649449426802397,-0.39813307888806415,0,
2025-07-31,3025.515869140625,3048.430405452322,3003.796825207198,3030.3975643658264,2968371.0,15.801758320445174,3202.687255859375,3329.3049169921874,-86.9936258077646,-72.1100608162566,0.9619687399353006,0.030641073760442783,0,
2025-08-01,2991.84130859375,3025.515761579588,2988.8524561376125,3018.64125499041,2053847.0,16.279158121690998,3182.5008544921875,3319.962685546875,-90.9881989575606,-75.88568844451741,0.9585953686608847,-0.3080895211548691,1,
2025-08-04,3062.97607421875,3067.957495262713,2980.483936317478,2997.9189099713494,2519252.0,26.25890879582151,3166.273327636719,3311.5963330078125,-87.40637953551959,-78.18982666271785,0.956116932512997,0.2266015920367972,0,
2025-08-05,3052.51513671875,3066.064699458969,3030.696609505827,3062.976121071088,1927996.0,26.088218304425467,3149.7958129882813,3303.780537109375,-84.43851740103719,-79.43956481038173,0.9533913580543635,-0.23469506027979736,0,
2025-08-06,3021.032470703125,3055.40427380999,3014.75583192388,3051.618345400808,1487081.0,25.532536516983413,3132.8562255859374,3295.3547705078126,-83.66244472824656,-80.28414079395469,0.9506886037351194,-0.22869082715939248,1,
2025-08-07,3035.677978515625,3040.2609831608825,2999.7120213520734,3004.793168100796,2543076.0,29.980438509701443,3116.73828125,3287.2140380859373,-80.9326897918354,-80.41385059353084,0.9481397454316053,0.7101126300450344,0,
2025-08-08,3025.1171875,3048.4303832570085,3013.759645138969,3036.7739069952254,2762140.0,31.86424573952678,3105.8511962890625,3279.545107421875,-78.71413931251118,-80.07390833732691,0.9470371940487328,0.08614135008155488,1,
2025-08-11,3029.5009765625,3038.567016640599,3010.073435095005,3025.117180240026,1884215.0,32.46755501164135,3097.332971191406,3272.23154296875,-75.7292275381119,-79.20497217748391,0.9465506736058579,-0.31784232515368516,0,
2025-08-12,3024.120849609375,3084.8941835228848,3015.652434227984,3029.700138212843,3358232.0,27.87190960527022,3087.076208496094,3265.6882568359374,-72.95679422351122,-77.95533658668937,0.9453064609072951,0.7822976677290012,1,
2025-08-13,3024.91796875,3033.087450352522,3017.3463549468943,3024.8184862723915,2148166.0,31.012264168219048,3077.267785644531,3259.0477197265627,-69.88965555015875,-76.34220037938324,0.9442229909731782,-0.36032829179163317,0,
2025-08-14,3011.06982421875,3044.544827820162,3007.881763385299,3022.726300858826,3342174.0,30.834247824669248,3067.95751953125,3252.324833984375,-67.79485865415427,-74.63273203433745,0.9433121462756046,0.5558266912333591,0,
2025-08-18,3000.010986328125,3037.67057838676,2992.2399207869066,3035.179867843642,2945609.0,36.418081139332685,3059.055725097656,3245.120625,-66.26323153141811,-72.95883193375359,0.9426631791530572,-0.11865480372954851,1,
2025-08-19,3004.992431640625,3013.7597814697733,2999.911528031773,3000.0110105142285,2650784.0,41.43721326012757,3051.9821166992188,3237.2673876953127,-63.910721976922105,-71.1492099423873,0.9427649159595671,-0.10008965887869026,1,
2025-08-20,3087.086181640625,3091.868151000454,2999.7118666132724,2999.7118666132724,4952358.0,57.202282013650354,3048.9434448242187,3230.2418359375,-54.79047122081374,-67.87746219807259,0.9438746693525304,0.868261616186004,1,
2025-08-21,3091.071533203125,3118.369623669664,3071.643990819241,3118.369623669664,3230726.0,60.98129732718472,3045.132666015625,3223.117265625,-46.70266299698733,-63.64250235785555,0.9447787390463246,-0.3476388419415559,0,
2025-08-22,3042.65185546875,3084.1968567150047,3038.666718788372,3074.532948911776,1593791.0,58.11066545492525,3040.4501220703123,3215.772963867188,-43.69637542725013,-59.65327697173446,0.9454803421240168,-0.5066771369654994,1,
2025-08-25,3128.93017578125,3140.2877180773667,3065.666130699425,3075.8281806328096,3448370.0,60.04245258470071,3040.6892333984374,3209.925854492188,-33.960456475293995,-54.51471287244637,0.9472770933768113,1.1636274768774575,1,
2025-08-26,3145.468505859375,3150.2507187850565,3108.4067813438887,3117.373339366996,5522097.0,63.89629198137413,3044.5697631835938,3203.4046826171875,-24.626289011257995,-48.53702810020869,0.9504168423379385,0.6013644127515319,0,
2025-08-28,3082.204345703125,3134.808199509225,3075.0311481917124,3133.313773226287,3116051.0,58.35144323711752,3046.44775390625,3195.24091796875,-22.07926700476173,-43.245475881119305,0.9534328809994429,-0.4357123752081863,0,
2025-08-29,3073.23779296875,3103.425252579535,3065.7656615419933,3081.507000394383,2271789.0,55.20859078071475,3047.99697265625,3188.1667724609374,-20.5474019242979,-38.70586108975503,0.9560343577332716,-0.2709397246707451,1,
2025-09-01,3101.0341796875,3119.4654366830314,3078.518060334719,3078.518060334719,1246862.0,60.04745915178398,3051.7728881835938,3182.192666015625,-16.89568872501104,-34.34382661680623,0.9590157506096801,-0.4511541344728758,0,
2025-09-02,3099.938232421875,3143.2765943406766,3091.569542586104,3109.502657862849,2185229.0,59.40406879148144,3057.177734375,3175.9643017578123,-13.929542396616398,-30.260969772768263,0.9625982674562598,0.7525828840721749,0,
2025-09-03,3085.990234375,3130.225154484772,3076.525534705408,3118.2697443758125,1799774.0,58.075424632408,3058.3284423828127,3170.2930078125,-12.559558167036812,-26.720687451621977,0.964683212197177,-0.17639112422542447,0,
2025-09-04,3084.197021484375,3106.414208311097,3079.3153260834893,3104.421639864457,1481391.0,57.71725774452799,3059.9125366210938,3164.6493994140624,-11.48612815317574,-23.67377559193273,0.9669041180952428,-0.17690165543007064,0,
2025-09-05,3036.97314453125,3091.868257451282,3017.3463946381216,3085.5918616420554,2802055.0,53.10261134017605,3060.7095703125,3156.9810205078124,-14.281372564181764,-21.79529498638254,0.9695052173041487,0.8915026485242585,0,
2025-09-08,3007.781982421875,3053.5113296442846,3004.793129839144,3038.666792443431,2626187.0,50.89203641010694,3059.3147705078127,3148.7883935546874,-18.637267897037876,-21.16368956851361,0.9715847456659774,-0.06276393575429462,1,
2025-09-09,3038.06884765625,3048.6295571410296,3019.538108052908,3020.833326119296,2489301.0,53.588385455651135,3059.962353515625,3141.215400390625,-19.421569658818044,-20.815265586574498,0.9741332457287407,-0.05212347787876492,1,
2025-09-10,3098.44384765625,3111.0966082909868,3042.0540649039185,3045.0429174900823,2079428.0,51.29310416714152,3063.4094970703127,3134.434873046875,-14.998483350710105,-19.65190913940162,0.9773402929544613,-0.1646538526277055,1,
2025-09-11,3112.591064453125,3127.336119333051,3098.543603103421,3127.336119333051,2263446.0,52.39465256564484,3067.8330078125,3128.5787109375,-10.233626546023515,-17.768252620726003,0.9805836104066574,0.08849452830297566,1,
2025-09-12,3121.7568359375,3137.0000329464906,3109.4030090679694,3132.3175458217547,1447167.0,59.64528324353287,3072.674951171875,3123.032958984375,-5.652681449056217,-15.345138386392046,0.9838752877494842,-0.3606355088656853,0,
2025-09-15,3100.336669921875,3122.354647788361,3084.4958486128803,3122.354647788361,1732539.0,45.85856628507537,3077.138293457031,3117.505615234375,-3.707935070068743,-13.017697723127387,0.9870514036670599,0.1971935512625702,1,
2025-09-16,3134.01123046875,3138.295301272733,3097.5473738607,3116.377048374956,2573429.0,48.4190270593681,3083.8383056640623,3112.274453125,0.5442720234195804,-10.305303773817997,0.9908632262709398,0.4853512677059506,1,
2025-09-17,3161.010498046875,3170.5746802441777,3130.723313005144,3140.287738435889,2418271.0,62.08372016411609,3091.639208984375,3107.744130859375,6.0233585043401945,-7.039571318186358,0.9948178095760584,-0.06029231814827607,1,
2025-09-18,3164.89599609375,3191.0983194206656,3149.652799058944,3173.1652036699406,2633138.0,64.27684837864724,3095.529699707032,3103.4007421875,10.557402075702612,-3.520176639408564,0.9974637363542938,0.08885149761958022,0,
2025-09-19,3157.423828125,3168.681888196503,3132.3175150101574,3158.220904129198,4901694.0,59.37706036148687,3098.847314453125,3099.352734375,13.39333276144862,-0.1374747592371275,0.9998369272666936,0.8615408687277308,0,
2025-09-22,3062.37841796875,3095.355278998739,3053.6110683753386,3083.499594330073,3634901.0,45.24111341458812,3099.833642578125,3093.439565429688,7.8806151636122195,1.466143225332742,1.0020669798175121,-0.2584398373297069,0,
2025-09-23,3051.0205078125,3069.252556548476,3040.6592498638747,3058.592364705798,3177741.0,45.54000901737963,3095.938159179688,3089.6027978515626,2.5656827293259994,1.6860511261313933,1.0020505423326684,-0.12576958767240154,0,
2025-09-24,3024.120849609375,3045.640684813108,3021.7298649127106,3038.666695675492,1625714.0,42.79911788667372,3089.870776367188,3086.0879052734376,-3.7735183533905,0.5941372302270147,1.0012257820288548,-0.4884057574232765,0,
2025-09-25,2946.41064453125,3018.3425546653493,2940.03452327195,3010.7706978406754,4974361.0,39.884242998075806,3083.081091308594,3080.43099609375,-14.896230508721146,-2.503936317562617,1.0008603001392353,2.059800801370967,0,
2025-09-26,2888.32763671875,2943.820618304199,2880.5565712711505,2930.07184762513,3934636.0,37.46603840382164,3073.835583496094,3073.7758203125,-28.074250848980228,-7.617999223846141,1.0000194429220242,-0.2090167963282118,0,
2025-09-29,2885.338623046875,2918.4152081680195,2883.2463290392707,2905.164580331207,3110035.0,33.00069292536787,3063.0508056640624,3067.53708984375,-38.317416014187984,-13.75788258191451,0.9985374963534944,-0.20957491366418646,0,0.0
2025-09-30,2877.667236328125,2904.467427717032,2874.379692997371,2900.183356935398,2253458.0,22.160808939562884,3051.937255859375,3061.5294970703126,-46.51798463099794,-20.3099029917312,0.9968668467117117,-0.2754235884805155,1,0.0
2025-10-01,2903.371337890625,2913.932047598146,2855.948356386049,2880.257593329001,1952902.0,24.36523624459164,3042.8063110351563,3056.6676318359373,-50.3623424297125,-26.320390879327466,0.9954652181819142,-0.13337546118010635,0,0.0
2025-10-03,2891.116943359375,2913.134920868619,2880.35726888136,2913.134920868619,2899519.0,21.952997941381327,3033.152307128906,3051.5327783203124,-53.77793237786818,-31.811899179035606,0.9939766430424766,0.4847232477615364,1,0.0
2025-10-06,2977.295654296875,2982.476526807699,2884.840673623438,2891.2167953135195,2112774.0,37.0734947855483,3030.168432617188,3047.73294921875,-48.966455454738025,-35.24281043417609,0.9942368583815506,-0.271336383724335,0,0.0
2025-10-07,2962.650146484375,2993.335747140356,2944.517823489207,2983.87104765697,3062943.0,31.24726481701057,3027.9118408203126,3044.2598974609373,-45.80706013584995,-37.35566037451086,0.9946298748492992,0.4497258107114155,1,0.0
2025-10-08,3015.951416015625,3031.692754680041,2956.9714413047523,2963.9454305531126,4121889.0,34.98969270101759,3026.805969238281,3042.095966796875,-38.55777950874881,-37.59608420135845,0.9949738608756996,0.3457282750609463,1,0.0
2025-10-09,3050.3232421875,3054.607312831964,3008.7782402976286,3022.726218895035,3211304.0,38.84794672375017,3024.399938964844,3041.7452734375,-29.696826735812465,-36.016232708249255,0.9942975716526538,-0.22091448847846218,0,0.0
2025-10-10,3017.04736328125,3058.5923640088854,2995.726736367315,3038.666680855733,8817365.0,36.989850408011065,3019.62275390625,3041.193330078125,-25.07054551038345,-33.827095268676096,0.9929071999604442,1.7457272808802902,0,0.0
2025-10-13,2996.02587890625,3024.220771178156,2987.059320862895,3015.752355248321,2866865.0,42.872436064875565,3013.3362060546874,3040.268779296875,-22.83718950886032,-31.62911411671294,0.9911413841349855,-0.6748614807258178,0,0.0
2025-10-14,2949.300048828125,3015.9513618688843,2944.517836211276,3009.774448720779,3611416.0,39.84485785135973,3005.784375,3038.744462890625,-24.554572938300225,-30.2142058810304,0.9891533861128713,0.25970912477566954,1,0.0
2025-10-15,2969.800048828125,2979.699951171875,2951.0,2971.0,4282226.0,44.50675391418905,2997.5738159179687,3038.3036376953123,-23.984949437852265,-28.96835459239477,0.9865945518834849,0.18574708646137683,1,0.0
2025-10-16,2970.699951171875,2975.0,2943.10009765625,2969.89990234375,3251495.0,52.90804703197335,2988.0582885742188,3036.458115234375,-23.19354338087305,-27.81339235009043,0.9840604332997953,-0.24069981360161752,0,0.0
2025-10-17,2962.199951171875,2988.800048828125,2955.39990234375,2970.0,4374683.0,60.03592729366516,2977.923486328125,3034.6518115234376,-22.98724469371382,-26.848162818815112,0.9813064797154326,0.3454374064853245,1,0.0
2025-10-20,3015.199951171875,3023.0,2978.5,2985.5,3133039.0,65.53178293487136,2970.812292480469,3034.5351611328124,-18.335731537749325,-25.14567656260196,0.9790007809207406,-0.28382490799904814,0,1.0
2025-10-21,3006.699951171875,3031.800048828125,2996.0,3031.10009765625,310644.0,65.40214999114079,2968.028369140625,3033.9556005859376,-15.160492096036704,-23.148639669288908,0.9782702055914791,-0.9008489840056252,0,1.0
