Stock,Accuracy,Precision,Recall,F1_Score
HDFCBANK_NS_6mo,0.3125,0.0,0.0,0.0
RELIANCE_NS_6mo,0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666
TCS_NS_6mo,0.4375,0.0,0.0,0.0
