Price,Close,High,Low,Open,Volume,RSI,SMA20,SMA50,MACD,Signal_Line
Ticker,,,,,,,,,,
Date,,,,,,,,,,
2025-04-21,1290.346435546875,1295.7249783909904,1261.9598099867933,1264.947875835223,10429964.0,,,,0.0,0.0
2025-04-22,1286.0635986328125,1298.713151385602,1281.1831879455033,1294.8286411452225,13051707.0,,,,-0.3416508079592404,-0.06833016159184808
2025-04-23,1294.82861328125,1300.804745342548,1280.286716249035,1291.840547250601,10480888.0,,,,0.0937709618392546,-0.03590993690562755
2025-04-24,1296.4222412109375,1299.3107293954529,1285.167265298474,1287.2588872304611,10468940.0,,,,0.5609717734589594,0.08346640516728986
2025-04-25,1295.22705078125,1319.928323767296,1282.9759313802824,1298.3146947064158,14431012.0,,,,0.8252766283601431,0.23182844980586054
2025-04-28,1363.35498046875,1369.1318351951852,1314.9482133535364,1334.669497851195,31104496.0,,,,6.4576548615063984,1.4769937321459683
2025-04-29,1394.1319580078125,1405.2874774645995,1364.5501529607263,1365.5461749701867,32538970.0,,,,13.252038809548822,3.8320027476265395
2025-04-30,1399.410888671875,1406.781475676485,1363.5540972183608,1396.4228227174156,25480745.0,,,,18.84536498922762,6.8346751959467555
2025-05-02,1414.152099609375,1421.024554216323,1403.4945911426703,1408.3751233126775,13007841.0,,,,24.18877566075139,10.305495288907682
2025-05-05,1425.6063232421875,1433.773654928142,1421.2238021682567,1425.3074680112338,12685649.0,,,,29.013280201334737,14.047052271393094
2025-05-06,1415.2476806640625,1426.3035005201457,1404.9886054552055,1425.3074785225756,14084117.0,,,,31.636196542267953,17.564881125568068
2025-05-07,1400.4068603515625,1418.733688530858,1397.1199392858432,1415.2476117092149,13440169.0,82.1034228601338,,,32.146778419298016,20.481260584314057
2025-05-08,1401.4029541015625,1415.1481063364454,1392.438756100913,1398.51446598441,16106175.0,82.20681891397237,,,32.259922372306846,22.836992941912616
2025-05-09,1371.721435546875,1389.251519832932,1369.032224808638,1379.988466695066,13668904.0,70.13305580153013,,,29.613177010645813,24.192229755659255
2025-05-12,1430.7855224609375,1433.275577320772,1394.430721507353,1394.430721507353,10674081.0,76.88785495365755,,,31.913709065045623,25.736525617536532
2025-05-13,1410.0682373046875,1441.9409399606418,1406.7814377941193,1427.7974767909468,11407896.0,72.33580911421573,,,31.699770302438083,26.929174554516845
2025-05-14,1418.7337646484375,1424.2118856620737,1409.8691445094285,1414.3512435205853,5570160.0,72.32589086382063,,,31.8621706577037,27.915773775154218
2025-05-15,1448.4151611328125,1455.5865925696291,1407.0802476372012,1419.3313670179805,20177211.0,74.86959265931907,,,33.99405247146365,29.131429514416105
2025-05-16,1450.6064453125,1455.1881221330052,1441.542669553187,1447.419102005185,9036695.0,75.3410950558836,,,35.45173693280094,30.395490998093074
2025-05-19,1435.0684814453125,1448.81351147394,1432.4787270944578,1446.3234565863577,6195791.0,64.11761115380604,1382.1000366210938,,34.9502933170038,31.30645146187522
2025-05-20,1418.932861328125,1439.2517336495314,1416.1440727881434,1432.4787356808251,11270560.0,55.181003217710305,1388.5293579101562,,32.871958471153675,31.61955286373091
2025-05-21,1423.5145263671875,1430.486680037078,1412.458707007589,1418.235682967954,6136364.0,55.05005373404283,1395.401904296875,,31.234513185114565,31.542544928007644
2025-05-22,1403.79345703125,1418.1361984129633,1391.3431818014155,1415.5464438973825,12134466.0,47.874079188533486,1400.850146484375,,28.022474872272824,30.83853091686068
2025-05-23,1421.124267578125,1428.0964217220903,1401.004549811851,1401.004549811851,6474883.0,49.10180607504642,1407.0852478027343,,26.569090997036255,29.984642932895795
2025-05-26,1429.0924072265625,1435.2676949623965,1419.430920923106,1426.3034970063509,4842944.0,52.8012914750004,1413.778515625,,25.76325333458044,29.140365013232724
2025-05-27,1416.44287109375,1431.2836233071982,1408.275539274527,1420.426959119657,12640414.0,53.27369753105187,1416.43291015625,,23.829220906567798,28.07813619189974
2025-05-28,1407.279541015625,1416.9409060075968,1405.0882196135674,1414.4508509493858,5944611.0,51.16097133709576,1417.0902893066407,,21.311417363783676,26.72479242627653
2025-05-29,1412.1600341796875,1414.3512339364067,1402.996558868143,1406.4826358531975,13771917.0,58.85691796911136,1417.7277465820312,,19.485241195330673,25.27688218008736
2025-05-30,1415.2476806640625,1424.9090454066045,1404.0921613404494,1412.3591925541664,13788484.0,45.491357898748774,1417.7825256347655,,18.078730341930623,23.83725181245601
2025-06-02,1408.0762939453125,1411.8612262898896,1390.0483195350275,1406.4826830156508,8098668.0,49.37267897371233,1416.906024169922,,16.198661298689103,22.30953370970263
2025-06-03,1399.908935546875,1420.825397764224,1397.8173136420835,1416.6421539546416,11252626.0,44.05285188376041,1416.1390869140625,,13.889545437599736,20.625536055282055
2025-06-04,1417.8372802734375,1420.0284799827916,1400.506473605418,1409.0722382665938,8126827.0,39.56490658597224,1417.0106079101563,,13.352305006812912,19.170889845588228
2025-06-05,1436.662109375,1448.913106617055,1417.9368477633757,1422.3193687346825,13716817.0,45.72648165745113,1418.7735656738282,,14.28092288815219,18.19289645410102
2025-06-06,1437.7576904296875,1445.7258660607492,1431.28354772945,1435.2676355449807,8182161.0,50.90420440683698,1422.0753784179688,,14.933123729596218,17.54094190920006
2025-06-09,1443.0367431640625,1451.70208605586,1439.5506661134996,1451.204075048637,7885125.0,58.74284155744332,1422.687939453125,,15.695050262477253,17.1717635798555
2025-06-10,1432.777587890625,1448.1163503747662,1430.2875329933524,1444.2318404180787,7913181.0,53.22694640367895,1423.8234069824218,,15.294746125258598,16.79636008893612
2025-06-11,1443.13623046875,1462.7578142878924,1437.3592545136698,1440.048586734708,8195700.0,64.66216105557952,1425.0435302734375,,15.633148888652386,16.563717848879374
2025-06-12,1435.865234375,1451.2039968882907,1428.6939248911117,1447.7179200254843,8828114.0,55.93893361031766,1424.416033935547,,15.140101235529073,16.278994526209317
2025-06-13,1422.2198486328125,1429.7895915718395,1408.673973649598,1418.335338487147,9757276.0,47.35226285116613,1422.9967041015625,,13.492752773043776,15.721746175576211
2025-06-16,1432.0804443359375,1436.6621211041454,1418.7337255535565,1421.223780491138,8458093.0,56.156874053781266,1422.8473022460937,,12.834931808405372,15.144383302142044
2025-06-17,1425.506591796875,1442.2398094911548,1420.12817043809,1442.2398094911548,10366599.0,57.32578951086829,1423.1759887695312,,11.64886809443692,14.44528026060102
2025-06-18,1424.4110107421875,1437.0605628519918,1420.028489708749,1424.3114328610282,6681735.0,55.07840251956774,1423.2208129882813,,10.499468484037152,13.656117905288248
2025-06-19,1427.598388671875,1434.1721095891817,1420.0285241646616,1424.4110453044384,10007230.0,55.115514554722665,1424.4110595703125,,9.733553427726974,12.871605009775994
