Price,Close,High,Low,Open,Volume,RSI,SMA20,SMA50,MACD,Signal_Line,Signal,Position,Return,Strategy_Return,Cumulative_Market_Return,Cumulative_Strategy_Return
Ticker,,,,,,,,,,,0,0,0.0,0.0,1.0,1.0
Date,,,,,,,,,,,0,0,0.0,0.0,1.0,1.0
2025-04-21,1290.346435546875,1295.7249783909904,1261.9598099867933,1264.947875835223,10429964.0,,,,0.0,0.0,0,0,0.0,0.0,1.0,1.0
2025-04-22,1286.0635986328125,1298.713151385602,1281.1831879455033,1294.8286411452225,13051707.0,,,,-0.3416508079592404,-0.068330161591848,0,0,-0.003319137245686554,-0.0,0.9966808627543134,1.0
2025-04-23,1294.82861328125,1300.804745342548,1280.286716249035,1291.840547250601,10480888.0,,,,0.0937709618392546,-0.0359099369056275,0,0,0.006815381959146771,0.0,1.003473623525356,1.0
2025-04-24,1296.4222412109375,1299.3107293954529,1285.167265298474,1287.2588872304611,10468940.0,,,,0.5609717734589594,0.0834664051672898,0,0,0.0012307636032609093,0.0,1.0047086623380235,1.0
2025-04-25,1295.22705078125,1319.928323767296,1282.9759313802824,1298.3146947064158,14431012.0,,,,0.8252766283601431,0.2318284498058605,0,0,-0.00092191447484824,-0.0,1.0037824068792087,1.0
2025-04-28,1363.35498046875,1369.1318351951852,1314.9482133535364,1334.669497851195,31104496.0,,,,6.4576548615063984,1.4769937321459683,0,0,0.05259921775599641,0.0,1.0565805762782865,1.0
2025-04-29,1394.1319580078125,1405.2874774645995,1364.5501529607263,1365.5461749701867,32538970.0,,,,13.252038809548822,3.83200274762654,0,0,0.022574441711784132,0.0,1.080432292911284,1.0
2025-04-30,1399.410888671875,1406.781475676485,1363.5540972183608,1396.4228227174156,25480745.0,,,,18.84536498922762,6.834675195946756,0,0,0.0037865358682445116,0.0,1.0845233885416021,1.0
2025-05-02,1414.152099609375,1421.024554216323,1403.4945911426703,1408.3751233126775,13007841.0,,,,24.18877566075139,10.305495288907682,0,0,0.0105338689707426,0.0,1.0959476158122052,1.0
2025-05-05,1425.6063232421875,1433.773654928142,1421.2238021682567,1425.3074680112338,12685649.0,,,,29.013280201334737,14.047052271393094,0,0,0.008099711223408246,0.0,1.1048244750162668,1.0
2025-05-06,1415.2476806640625,1426.3035005201457,1404.9886054552055,1425.3074785225756,14084117.0,,,,31.636196542267957,17.564881125568068,0,0,-0.007266131195719505,-0.0,1.0967966754325567,1.0
2025-05-07,1400.4068603515625,1418.733688530858,1397.1199392858432,1415.2476117092149,13440169.0,82.1034228601338,,,32.146778419298016,20.481260584314057,-1,-1,-0.010486376706539735,-0.0,1.0852952523234904,1.0
2025-05-08,1401.4029541015625,1415.1481063364454,1392.438756100913,1398.51446598441,16106175.0,82.20681891397237,,,32.259922372306846,22.836992941912616,-1,-1,0.0007112888248419491,-0.0007112888248419491,1.0860672107081222,0.999288711175158
2025-05-09,1371.721435546875,1389.251519832932,1369.032224808638,1379.988466695066,13668904.0,70.13305580153013,,,29.613177010645813,24.192229755659252,-1,-1,-0.021179860130747574,0.021179860130747574,1.063064459092733,1.0204535063080828
2025-05-12,1430.7855224609375,1433.275577320772,1394.430721507353,1394.430721507353,10674081.0,76.88785495365755,,,31.913709065045623,25.73652561753653,-1,-1,0.04305836840007893,-0.04305836840007893,1.1088382802053784,0.9765144432983172
2025-05-13,1410.0682373046875,1441.9409399606418,1406.7814377941193,1427.7974767909468,11407896.0,72.33580911421573,,,31.699770302438083,26.929174554516845,-1,-1,-0.014479658083635383,0.014479658083635383,1.0927826810379584,0.9906540385510082
2025-05-14,1418.7337646484375,1424.2118856620737,1409.8691445094285,1414.3512435205853,5570160.0,72.32589086382063,,,31.8621706577037,27.915773775154214,-1,-1,0.006145466662176524,-0.006145466662176524,1.099498340573281,0.9845660071833424
2025-05-15,1448.4151611328125,1455.5865925696291,1407.0802476372012,1419.3313670179805,20177211.0,74.86959265931907,,,33.99405247146365,29.131429514416105,-1,-1,0.020921047503038803,-0.020921047503038803,1.122500997585927,0.9639678549771825
2025-05-16,1450.6064453125,1455.1881221330052,1441.542669553187,1447.419102005185,9036695.0,75.3410950558836,,,35.45173693280094,30.395490998093077,-1,-1,0.0015128840393894283,-0.0015128840393894283,1.1241992114293735,0.962509483394903
2025-05-19,1435.0684814453125,1448.81351147394,1432.4787270944578,1446.3234565863577,6195791.0,64.11761115380604,1382.1000366210938,,34.9502933170038,31.30645146187522,0,-1,-0.010711357251580567,0.010711357251580567,1.1121575120538083,0.97281926632958
2025-05-20,1418.932861328125,1439.2517336495314,1416.1440727881434,1432.4787356808251,11270560.0,55.18100321771031,1388.5293579101562,,32.871958471153675,31.61955286373091,0,-1,-0.011243797996968508,0.011243797996968508,1.0996526376474642,0.9837574496477488
2025-05-21,1423.5145263671875,1430.486680037078,1412.458707007589,1418.235682967954,6136364.0,55.05005373404283,1395.401904296875,,31.234513185114565,31.542544928007644,0,-1,0.0032289512519809715,-0.0032289512519809715,1.1032033624085402,0.9805809447990631
2025-05-22,1403.79345703125,1418.1361984129633,1391.3431818014155,1415.5464438973825,12134466.0,47.874079188533486,1400.850146484375,,28.022474872272824,30.83853091686068,0,-1,-0.0138537886130784,0.0138537886130784,1.087919816228495,0.9941657059263221
2025-05-23,1421.124267578125,1428.0964217220903,1401.004549811851,1401.004549811851,6474883.0,49.10180607504642,1407.0852478027343,,26.569090997036252,29.984642932895795,0,-1,0.012345698336225563,-0.012345698336225563,1.1013509460936541,0.9818920360247351
2025-05-26,1429.0924072265625,1435.2676949623965,1419.430920923106,1426.3034970063509,4842944.0,52.8012914750004,1413.778515625,,25.76325333458044,29.140365013232724,0,-1,0.005606926734152973,-0.005606926734152973,1.1075261401569914,0.976386639317896
2025-05-27,1416.44287109375,1431.2836233071982,1408.275539274527,1420.426959119657,12640414.0,53.27369753105187,1416.43291015625,,23.8292209065678,28.07813619189974,0,-1,-0.008851447302390625,0.008851447302390625,1.0977229308913716,0.9850290742025767
2025-05-28,1407.279541015625,1416.9409060075968,1405.0882196135674,1414.4508509493858,5944611.0,51.16097133709576,1417.090289306641,,21.31141736378368,26.72479242627653,0,-1,-0.0064692549661740095,0.0064692549661740095,1.0906214813692194,0.9914014784326874
2025-05-29,1412.1600341796875,1414.3512339364067,1402.996558868143,1406.4826358531975,13771917.0,58.85691796911136,1417.7277465820312,,19.485241195330676,25.27688218008736,0,-1,0.003468033906426582,-0.003468033906426582,1.0944037936456852,0.9879632644906015
2025-05-30,1415.2476806640625,1424.9090454066045,1404.0921613404494,1412.3591925541664,13788484.0,45.49135789874877,1417.7825256347655,,18.078730341930623,23.83725181245601,0,-1,0.0021864706617111818,-0.0021864706617111818,1.0967966754325569,0.9858031117979443
2025-06-02,1408.0762939453125,1411.8612262898896,1390.0483195350275,1406.4826830156508,8098668.0,49.37267897371233,1416.906024169922,,16.198661298689103,22.30953370970263,0,-1,-0.005067230857700444,0.005067230857700444,1.0912389534741818,0.990798403745664
2025-06-03,1399.908935546875,1420.825397764224,1397.8173136420835,1416.6421539546416,11252626.0,44.05285188376041,1416.1390869140623,,13.889545437599736,20.62553605528205,0,-1,-0.005800366381819577,0.005800366381819577,1.084909367733918,0.9965453974979108
2025-06-04,1417.8372802734375,1420.0284799827916,1400.506473605418,1409.0722382665938,8126827.0,39.56490658597224,1417.0106079101563,,13.352305006812912,19.170889845588228,0,-1,0.012806793550152351,-0.012806793550152351,1.0988035780271128,0.9837828463288005
2025-06-05,1436.662109375,1448.913106617055,1417.9368477633757,1422.3193687346825,13716817.0,45.72648165745113,1418.7735656738282,,14.28092288815219,18.19289645410102,0,-1,0.013277143550585846,-0.013277143550585846,1.1133925508664761,0.9707210202554891
2025-06-06,1437.7576904296875,1445.7258660607492,1431.28354772945,1435.2676355449807,8182161.0,50.90420440683698,1422.0753784179688,,14.933123729596218,17.54094190920006,0,-1,0.0007625878399228903,-0.0007625878399228903,1.1142416104868276,0.9699807602094848
2025-06-09,1443.0367431640625,1451.70208605586,1439.5506661134996,1451.204075048637,7885125.0,58.74284155744332,1422.687939453125,,15.695050262477253,17.1717635798555,0,-1,0.003671726306536005,-0.003671726306536005,1.1183328007198892,0.9664192563353898
2025-06-10,1432.777587890625,1448.1163503747662,1430.2875329933524,1444.2318404180787,7913181.0,53.22694640367895,1423.8234069824218,,15.294746125258598,16.79636008893612,0,-1,-0.007109420686643664,0.007109420686643664,1.110382102371899,0.9732899373883513
2025-06-11,1443.13623046875,1462.7578142878924,1437.3592545136698,1440.048586734708,8195700.0,64.66216105557952,1425.0435302734377,,15.633148888652386,16.563717848879374,0,-1,0.007229763129792621,-0.007229763129792621,1.1184099019556089,0.9662532816844229
